stock,quantity,bought_price,date,hour,total_cost,quantity_sold,sold_price,profit-loss,date_sold,hour_sold,total_sell,stocks_remaining
MSFT,30,318.42,04/12/2021,22:46:07,3193.38,30.0,323.01,6496.62,05/12/2021,17:02:36,9690.0,-15
NVDA,20,263.255,05/12/2021,15:28:49,4167.2,20.0,306.93,1952.8,05/12/2021,17:03:49,6120.0,-5
AMD,25,107.65,24/08/2021,20:44:39,1076.5,25.0,144.01,2523.5,05/12/2021,17:05:23,3600.0,-15
NSANY,50,10.27,24/08/2021,20:48:45,513.5,20.0,9.94,-333.5,05/12/2021,17:06:03,180.0,30
FB,10,365.51,24/08/2021,20:49:41,3655.1,10.0,306.84,-595.0999999999998,05/12/2021,17:07:03,3060.0,0
GOOGL,5,2825.23,24/08/2021,20:54:49,8475.69,5.0,2840.03,5724.31,05/12/2021,17:07:26,14200.0,-2
UBER,20,40.17,24/08/2021,20:56:14,803.4,20.0,35.85,-103.39999999999998,05/12/2021,17:07:46,700.0,0
TTWO,10,163.82,24/08/2021,20:58:21,1638.2,3.0,165.78,-1143.2,05/12/2021,17:08:12,495.0,7
JPM,15,157.67,24/08/2021,21:00:12,788.35,15.0,158.29,1581.65,05/12/2021,17:08:48,2370.0,-10
QCOM,10,144.46,24/08/2021,21:02:29,1444.6,10.0,176.51,315.4000000000001,05/12/2021,17:09:20,1760.0,0
LOGI,10,106.29,24/08/2021,21:05:09,531.45,10.0,77.56,238.54999999999995,05/12/2021,17:09:37,770.0,-5
DIDI,500,6.07,04/12/2021,21:45:35,3035.0,500.0,6.07,-35.0,05/12/2021,17:11:07,3000.0,0
